category,enzyme_name,ec_number,pdb_id,ph_optimum
acid_proteases,pepsin_human,3.4.23.1,1PSO,2.0
acid_proteases,pepsin_porcine,3.4.23.1,4PEP,2.0
acid_proteases,pepsin_a,3.4.23.1,5PEP,1.8
acid_proteases,renin,3.4.23.15,1BIL,3.5
acid_proteases,cathepsin_d,3.4.23.5,1LYA,3.5
acid_proteases,plasmepsin,3.4.23.39,1SME,4.5
acid_proteases,aspartic_protease,3.4.23.-,1APT,3.0
acid_proteases,hiv_protease,3.4.23.16,1A30,4.5
acid_phosphatases,acid_phosphatase_human,3.1.3.2,1RPT,5.0
acid_phosphatases,acid_phosphatase_yeast,3.1.3.2,1CVI,5.5
acid_phosphatases,purple_acid_phosphatase,3.1.3.2,1UTE,5.0
glycosidases,glucoamylase,3.2.1.3,1AYX,4.5
glycosidases,beta_glucosidase,3.2.1.21,1GNX,5.0
glycosidases,alpha_glucosidase,3.2.1.20,1OBB,5.5
glycosidases,cellulase_endo,3.2.1.4,1CEM,5.0
glycosidases,cellulase_exo,3.2.1.91,1CEL,5.0
glycosidases,xylanase_family10,3.2.1.8,1XYN,5.5
glycosidases,xylanase_family11,3.2.1.8,1XYF,5.0
glycosidases,xylanase_thermophilic,3.2.1.8,1BVV,6.0
lysozymes,lysozyme_chicken,3.2.1.17,1DPX,5.2
lysozymes,lysozyme_human,3.2.1.17,1REX,5.0
lysozymes,lysozyme_t4,3.2.1.17,3LZM,5.5
lysozymes,muramidase,3.2.1.17,1LYS,5.5
lipases,gastric_lipase,3.1.1.3,1HLG,4.0
lipases,pancreatic_lipase,3.1.1.3,1LPA,8.0
lipases,lipase_fungal,3.1.1.3,1TIC,6.0
lipases,lipase_bacterial,3.1.1.3,1CVL,7.0
oxidoreductases,glucose_oxidase,1.1.3.4,1CF3,5.5
oxidoreductases,lactate_oxidase,1.1.3.15,2E77,6.5
oxidoreductases,alcohol_oxidase,1.1.3.13,1AHZ,7.5
oxidoreductases,catalase_human,1.11.1.6,1DGF,7.0
oxidoreductases,catalase_bacterial,1.11.1.6,1IPH,7.0
oxidoreductases,catalase_fungal,1.11.1.6,1A4E,7.0
oxidoreductases,peroxidase_horseradish,1.11.1.7,1ATJ,6.8
oxidoreductases,peroxidase_cytochrome,1.11.1.5,1CYF,5.5
oxidoreductases,myeloperoxidase,1.11.1.7,1DNU,7.0
amylases,alpha_amylase_human,3.2.1.1,1BLI,6.9
amylases,alpha_amylase_bacterial,3.2.1.1,1BAG,6.5
amylases,alpha_amylase_fungal,3.2.1.1,2GUY,5.5
amylases,beta_amylase,3.2.1.2,1BYA,5.5
dehydrogenases,lactate_dehydrogenase,1.1.1.27,1LDM,7.5
dehydrogenases,malate_dehydrogenase,1.1.1.37,1MLD,7.5
dehydrogenases,alcohol_dehydrogenase,1.1.1.1,1CDO,8.5
dehydrogenases,glucose_dehydrogenase,1.1.1.47,1GCO,7.5
kinases,hexokinase,2.7.1.1,1HKG,7.5
kinases,pyruvate_kinase,2.7.1.40,1PKM,7.5
kinases,creatine_kinase,2.7.3.2,1CRK,7.0
alkaline_proteases,trypsin_bovine,3.4.21.4,1S0Q,8.0
alkaline_proteases,trypsin_human,3.4.21.4,1TRN,8.0
alkaline_proteases,chymotrypsin,3.4.21.1,1CHG,8.0
alkaline_proteases,elastase,3.4.21.36,1ELA,8.5
alkaline_proteases,thrombin,3.4.21.5,1HRT,8.0
alkaline_proteases,subtilisin_bpn,3.4.21.62,1CSE,10.5
alkaline_proteases,subtilisin_carlsberg,3.4.21.62,1SBC,10.0
alkaline_proteases,subtilisin_e,3.4.21.62,1SCB,10.5
alkaline_phosphatases,alkaline_phosphatase_ecoli,3.1.3.1,1ALK,9.0
alkaline_phosphatases,alkaline_phosphatase_calf,3.1.3.1,1AJA,9.5
alkaline_phosphatases,alkaline_phosphatase_shrimp,3.1.3.1,1SHN,8.5
carbonic_anhydrases,carbonic_anhydrase_i,4.2.1.1,1AZM,7.0
carbonic_anhydrases,carbonic_anhydrase_ii,4.2.1.1,1CA2,7.5
carbonic_anhydrases,carbonic_anhydrase_iii,4.2.1.1,1FLJ,8.0
extremophiles,thermolysin,3.4.24.27,1LNF,8.0
extremophiles,psychrophilic_protease,3.4.21.112,1SH7,8.0
extremophiles,halophilic_protease,3.4.21.61,1NLN,8.5
extremophiles,thermophilic_xylanase,3.2.1.8,1BVV,6.0
extremophiles,acidophilic_protease,3.4.23.34,1PSO,2.5
miscellaneous,papain,3.4.22.2,1PPN,6.5
miscellaneous,bromelain,3.4.22.32,1W0Q,7.0
miscellaneous,ficin,3.4.22.3,4YYW,7.0
miscellaneous,invertase,3.2.1.26,4EQV,4.5
miscellaneous,urease,3.5.1.5,1UBP,7.0
miscellaneous,arginase,3.5.3.1,1RLA,9.5
miscellaneous,asparaginase,3.5.1.1,1NNS,8.5
