scop_id,class,name
406327,a,d7o6ew_
76731,a,d1hzfa_
130401,a,d2cfxd1
418150,a,d7f4gd_
270562,a,d4toel_
90357,a,d1hfaa2
16556,a,d1cpqa_
145896,a,d1y0vk1
16905,a,d1rfba_
93300,a,d1ol1b2
216589,a,d3swoa2
318648,a,d4uhla1
275064,a,d4xroa1
16192,a,d1irfa_
121942,a,d1xfut1
16794,a,d1mrra_
355561,a,d6bhsa1
258034,a,d4ogrf1
16144,a,d1d5va_
317075,a,d4zt6a2
374189,a,d6j4jh_
116435,a,d1y45d_
179796,a,d3kxsa_
127655,a,d2b11c_
294012,a,d3na0b_
244759,a,d2yhsa1
60506,a,d1gh0p_
261207,a,d4cmyd_
193243,a,d4iyhd_
212691,a,d3l2fq1
364339,a,d6af6a2
307572,a,d4j4xe_
248284,a,d3oj5g_
17531,a,d13gsb1
214763,a,d3pfdd2
149042,a,d2ow7a1
392819,a,d6vrgd1
60511,a,d1gh0u_
198121,a,d2jizd3
17126,a,d1qb2b_
357273,a,d6athb1
335406,a,d5mr3g_
406879,a,d5s5me_
220373,a,d4e8hc2
148170,a,d2jq4a1
127066,a,d2ao2b_
361207,a,d6n3uf_
198147,a,d2jj1f3
351361,a,d6cw0b_
136791,a,d2hv7f_
137991,a,d2j47a1
132681,a,d2f0ya_
72885,a,d1kqqa_
84992,a,d1mkdk_
270501,a,d4tobb_
167188,a,d2ph4b_
183199,a,d3oo4b_
378759,a,d6t3ba2
94282,a,d1p7id_
19134,a,d1bk6b_
344310,a,d5k3gc3
126259,a,d2a6ep3
241520,a,d2d9aa1
112586,a,d1tnzf_
172024,a,d3adxb_
64927,a,d1f1ea_
174493,a,d3e1ni_
413376,a,d3r1ob_
310411,a,d5dqfa2
18783,a,d1pgja1
242797,a,d2l7ib1
207651,a,d2yjkk_
18270,a,d1e79b1
257108,a,d4mu8b_
116312,a,d1y0wa_
314711,a,d5hfra_
124449,a,d1z53a_
244438,a,d2x5wa_
373137,a,d6hita_
81049,a,d1o1ja2
379514,a,d6kh3a_
193092,a,d4i7ha_
416898,a,d6txkd_
418260,a,d7lazb_
166016,a,d2jd65_
18004,a,d9icna1
104454,a,d1q0kl_
268037,a,d3wnwc_
270470,a,d4toab_
239392,a,d3l74q1
278992,a,d2mw8a_
264973,a,d3kfla2
252875,a,d4jbsa4
173556,a,d3cz1a_
373012,a,d6kdzb1
305892,a,d3lyfd_
106075,a,d1swxa_
349546,a,d6axqc_
258023,a,d4o8fa_
157517,a,d3dbyp2
98003,a,d1rwyb_
95468,a,d1pzra_
105039,a,d1rpwb2
126367,a,d2a7ub1
306643,a,d3u85a2
303791,a,d2eq9i_
119771,a,d1uyub_
115456,a,d1xlxb_
273389,a,d5ahsb2
128304,a,d2bcqa1
399772,a,d6ls3f_
149593,a,d2pk2d2
205352,a,d2oqra2
277518,a,d5djpf_
221748,a,d4g7la_
149357,a,d2pbja1
262389,a,d3wcvf_
228181,a,d4hjgh1
165532,a,d2ifca_
271434,a,d4q50f_
199377,a,d3eyba_
137746,a,d2iw8d1
332116,a,d5pgna1
100298,a,d1v4ha_
326912,a,d5ey6b2
17358,a,d1djza1
256731,a,d4cxad2
271717,a,d4uiua_
121939,a,d1xfuq1
92238,a,d1nwib_
377915,a,d6uy1b1
114663,a,d1wi9a1
122816,a,d1yafc_
17482,a,d1mjqg_
356585,a,d5ysza1
19254,a,d1fqva1
15591,a,d1gcwb_
200096,a,d3oljb1
238771,a,d2o5jo_
349313,a,d6ay3a_
194970,a,d3tikc1
137461,a,d2ij7e_
131523,a,d2di4b_
170904,a,d2yxca_
321957,a,d5l89d1
262651,a,d4cybc_
318803,a,d5jhxb1
79227,a,d1mk9f1
19109,a,d1wq1g_
129613,a,d2c0ud1
67863,a,d1jzkc_
275002,a,d4wwia_
87265,a,d1oqcb_
270511,a,d4tobk_
401338,a,d6ycna_
305237,a,d3dsrb3
